Appendix,Scientific_Name
APPENDIX I ,Pediocactus wetlandicus f. ilseae
APPENDIX I ,Sclerocactus wetlandicus subsp. ilseae
APPENDIX I ,Sclerocactus wetlandicus var. ilseae
APPENDIX I ,Sclerocactus whipplei var. ilseae
APPENDIX I ,Sclerocactus cloverae 
APPENDIX I ,Pediocactus cloverae
APPENDIX I ,Pediocactus cloverae subsp. brackii
APPENDIX I ,Sclerocactus cloverae subsp. brackii
APPENDIX I ,Sclerocactus whipplei subsp. cloverae
APPENDIX I ,Sclerocactus whipplei subvar. aztecia
APPENDIX I ,Sclerocactus whipplei var. reevesii
APPENDIX I ,Sclerocactus erectocentrus 
APPENDIX I ,Echinocactus beguinii
APPENDIX I ,Echinocactus erectocentrus
APPENDIX I ,Echinomastus erectocentrus
APPENDIX I ,Echinomastus erectocentrus subsp. erectocentrus  
APPENDIX I ,Gymnocactus beguinii
APPENDIX I ,Neolloydia beguinii
APPENDIX I ,Neolloydia erectocentra
APPENDIX I ,Neolloydia smithii var. beguinii
APPENDIX I ,Pediocactus erectocentrus
APPENDIX I ,Sclerocactus johnsonii subsp. erectocentrus
APPENDIX I ,Thelocactus erectocentrus
APPENDIX I ,Sclerocactus glaucus 
APPENDIX I ,Echinocactus glaucus
APPENDIX I ,Echinocactus glaucus
APPENDIX I ,Echinocactus subglaucus
APPENDIX I ,Echinocactus whipplei var. glaucus
APPENDIX I ,Ferocactus glaucus
APPENDIX I ,Pediocactus glaucus
APPENDIX I ,Sclerocactus franklinii
APPENDIX I ,Sclerocactus whipplei var. glaucus
APPENDIX I ,Sclerocactus mariposensis 
APPENDIX I ,Echinomastus mariposensis
APPENDIX I ,Echinomastus mariposensis subsp. fischeri
APPENDIX I ,Neolloydia mariposensis
APPENDIX I ,Pediocactus mariposensis
APPENDIX I ,Sclerocactus mesae-verdae 
APPENDIX I ,Coloradoa mesae-verdae
APPENDIX I ,Echinocactus mesae-verdae
APPENDIX I ,Ferocactus mesae-verdae
APPENDIX I ,Pediocactus mesae-verdae
APPENDIX I ,Sclerocactus nyensis 
APPENDIX I ,Pediocactus nyensis
APPENDIX I ,Sclerocactus spinosior subsp. nyensis
APPENDIX I ,Sclerocactus papyracanthus 
APPENDIX I ,Echinocactus papyracanthus
APPENDIX I ,Mammillaria papyracantha
APPENDIX I ,Pediocactus papyracanthus
APPENDIX I ,Toumeya papyracantha
APPENDIX I ,Sclerocactus pubispinus 
APPENDIX I ,Echinocactus pubispinus
APPENDIX I ,Ferocactus pubispinus
APPENDIX I ,Pediocactus pubispinus
APPENDIX I ,Sclerocactus sileri 
APPENDIX I ,Pediocactus pubispinus subsp. sileri
APPENDIX I ,Sclerocactus pubispinus var. sileri
APPENDIX I ,Sclerocactus wetlandicus 
APPENDIX I ,Pediocactus wetlandicus
APPENDIX I ,Sclerocactus glaucus subsp. wetlandicus
APPENDIX I ,Sclerocactus wrightiae 
APPENDIX I ,Ferocactus wrightiae
APPENDIX I ,Pediocactus wrightiae
APPENDIX I ,Strombocactus spp.
APPENDIX I , Turbinicarpus spp.
APPENDIX I , Uebelmannia spp.
APPENDIX I ,Saussurea costus
APPENDIX I ,Fitzroya cupressoides
APPENDIX I ,Cupresstellata patagonica
APPENDIX I ,Fitzroya patagonica
APPENDIX I ,Libocedrus cupressoides
APPENDIX I ,Pinus cupressoides
APPENDIX I ,Pilgerodendron uviferum
APPENDIX I ,Juniperus uvifera
APPENDIX I ,Libocedrus tetragona
APPENDIX I ,Libocedrus uvifera
APPENDIX I ,Thuja tetragona
APPENDIX I ,Cycas beddomei
APPENDIX I ,Cycas circinalis var. beddomei
APPENDIX I ,Cycas pluma
APPENDIX I ,Euphorbia ambovombensis
APPENDIX I ,Euphorbia capsaintemariensis
APPENDIX I ,"Euphorbia cremersii
(Includes thefomza viridifolia and the variety rakotozafyi."
APPENDIX I ,"Euphorbia cylindrifolia
(Includes the subspecies tuberifera.)"
APPENDIX I ,Euphorbia cylindrifolia subsp.cylindrifolia 
APPENDIX I ,"Euphorbia decaryi (Includes the varieties ampanihyensis, robinsonii and spirosticha)."
APPENDIX I ,Euphorbia francoisii
APPENDIX I ,Euphorbia francoisii var. francoisii  
APPENDIX I ,"Euphorbia moratii (Includes the varieties antsingiensis, bemarahensis and multiflora.) "
APPENDIX I ,Euphorbia parvicyathophora 
APPENDIX I ,Euphorbia quartziticola 
APPENDIX I ,Euphorbia tulearensis
APPENDIX I ,Euphorbia cap-saintemariensis var. tulearensis
APPENDIX I ,Fouquieria fasciculata 
APPENDIX I ,Bronnia spinosa
APPENDIX I ,Fouquieria purpusii
APPENDIX I ,Aloe albida 
APPENDIX I ,Aloe kraussii var. minor
APPENDIX I ,Aloe myriacantha var. minor
APPENDIX I ,Leptaloe albida
APPENDIX I ,Aloe albiflora 
APPENDIX I ,Guillauminia albiflora
APPENDIX I ,Aloe alfredii 
APPENDIX I ,Aloe bakeri
APPENDIX I ,Guillauminia bakeri
APPENDIX I , Aloe bellatula 
APPENDIX I ,Guillauminia bellatula
APPENDIX I ,Aloe calcairophila 
APPENDIX I ,Guillauminia calcairophila
APPENDIX I ,Guillauminia calcairophylla
APPENDIX I ,"Aloe compressa (Includes the varieties paucituberculata, rugosquamosa and schistophila)."
APPENDIX I ,Aloe delphinensis 
APPENDIX I ,Aloe descoingsii 
APPENDIX I ,Guillauminia descoingsii
APPENDIX I ,Aloe fragilis 
APPENDIX I ,Aloe haworthioides (Includes the variety aurantiaca).
APPENDIX I ,Aloinella haworthioides
APPENDIX I ,Lemeea haworthioides
APPENDIX I ,Aloe helenae 
APPENDIX I ,Aloe laeta (Includes the variety maniaensis.) 
APPENDIX I ,Aloe parallelifolia 
APPENDIX I ,Aloe parvula
APPENDIX I ,Aloe sempervivoides
APPENDIX I ,Lemeea parvula
APPENDIX I ,Aloe pillansii 
APPENDIX I ,Aloe dichotoma subsp. pillansii
APPENDIX I ,Aloe pillansii
APPENDIX I ,Aloe pillansii
APPENDIX I ,Aloe polyphylla 
