Appendix,Scientific_Name
APPENDIX II,"Osyris lanceolata
(Populations of Burundi, Ethiopia, Kenya, Rwanda, Uganda and
the United Republic of Tanzania.)"
APPENDIX II,Osyris abyssinica
APPENDIX II,Osyris arborea
APPENDIX II,Osyris arborea var. rotundifolia
APPENDIX II,Osyris arborea var. stipitata
APPENDIX II,Osyris densifolia
APPENDIX II,Osyris divaricata
APPENDIX II,Osyris laeta
APPENDIX II,Osyris nepalensis
APPENDIX II,Osyris oblanceolata
APPENDIX II,Osyris parvifolia
APPENDIX II,Osyris pendula
APPENDIX II,Osyris quadripartita
APPENDIX II,Osyris quadripartita var. canariensis
APPENDIX II,Osyris rigidissima
APPENDIX II,Osyris tenuifolia
APPENDIX II,Osyris urundiensis
APPENDIX II,Osyris wightiana
APPENDIX II,Osyris wightiana var. rotundifolia
APPENDIX II,Osyris wightiana var. stipitata
APPENDIX II,"Sarracenia spp.
(Except the species included in Appendix I"
APPENDIX II,"Picrorhiza kurrooa
(Excludes Picrorhiza scrophulariiflora) "
APPENDIX II,Bowenia spp
APPENDIX II,"Taxus chinensis 
(Includes infraspecific taxa of this species)"
APPENDIX II,Taxus cuspidata (Includes infraspecific taxa of this species)
APPENDIX II,Cephalotaxus umbraculifera
APPENDIX II,Taxus baccata subsp. cuspidata
APPENDIX II,Taxus baccata var. cuspidata
APPENDIX II,Taxus baccata var. latifolia
APPENDIX II,Taxus baccata var. microcarpa
APPENDIX II,Taxus biternata
APPENDIX II,Taxus caespitosa
APPENDIX II,Taxus caespitosa var. latifolia
APPENDIX II,Taxus cuspidata f. aurescens
APPENDIX II,Taxus cuspidata f. densa
APPENDIX II,Taxus cuspidata f. fructu-luteo
APPENDIX II,Taxus cuspidata f. luteobaccata
APPENDIX II,Taxus cuspidata f. minima
APPENDIX II,Taxus cuspidata f. thayerae
APPENDIX II,Taxus cuspidata subsp. biternata
APPENDIX II,Taxus cuspidata var. caespitosa
APPENDIX II,Taxus cuspidata var. densa
APPENDIX II,Taxus cuspidata var. latifolia
APPENDIX II,Taxus cuspidata var. luteobaccata
APPENDIX II,Taxus cuspidata var. microcarpa
APPENDIX II,Taxus cuspidata var. minima
APPENDIX II,Taxus cuspidata var. umbraculifera
APPENDIX II,Taxus umbraculifera
APPENDIX II,Taxus umbraculifera var. microcarpa
APPENDIX II,"Taxus Jurana
(Includes infraspecific taxa of this species.)"
APPENDIX II,"Taxus sumatrana
(Includes infraspecific taxa of this species.)"
APPENDIX II,Cephalotaxus mannii
APPENDIX II,Taxus wallichiana 
APPENDIX II,Aquilegia spp.
APPENDIX II,Gonystylus spp.
APPENDIX II,Gyrinops spp. 
APPENDIX II,Cyphostemma elephantopus 
APPENDIX II,Cyphostemma laza
APPENDIX II,Cyphostemma laza var. laza  
APPENDIX II,Cyphostemma laza var. parvifolia
APPENDIX II,Cyphostemma montagnacii
APPENDIX II,Welwitschia mirobile
APPENDIX II,"ZAMIACEAE SPP.
(Except the species included in Appendix I) "
APPENDIX II,Hedychium philippinense 
APPENDIX II,"Siphonochilus aethiopicus
(Populations of Mozambique, South Africa, Eswatini and
Zimbabwe.) "
APPENDIX II,Cienkowskia aethiopica
APPENDIX II,Cienkowskiella aethiopica
APPENDIX II,Cienkowskiella evae
APPENDIX II,Kaempferia aethiopica
APPENDIX II,Kaempferia aethiopica var. angustifolia
APPENDIX II,Kaempferia dewevrei
APPENDIX II,Kaempferia ethelae
APPENDIX II,Kaempferia evae
APPENDIX II,Kaempferia natalensis
APPENDIX II,Kaempferia zambeziaca
APPENDIX II,Siphonochilus evae
APPENDIX II,Siphonochilus natalensis
APPENDIX II,Bulnesia sarmientoi 
APPENDIX II,Guaiacum spp.
APPENDIX III,Quercus mongolica
APPENDIX III,Quercus crispula var. manshurica
APPENDIX III,Quercus crispulimongolica
APPENDIX III,Quercus mongolica f. tomentosa
APPENDIX III,Quercus mongolica var. laciniata
APPENDIX III,Quercus mongolica var. manshurica (Koidz.)
APPENDIX III,Quercus mongolica var. mongolica  
APPENDIX III,Quercus mongolica var. tomentosa
APPENDIX III,Quercus mongolica var. typica
APPENDIX III,Quercus sessiliflora var. mongolica
APPENDIX III,Gnetum montanum
APPENDIX III,Gnetum montanum
APPENDIX III,Thoa montana
APPENDIX III,Dipteryx panamensis
APPENDIX III,Magnolia liliifera var. obovata
APPENDIX III,Fraxinus mandshurica
APPENDIX III,Fraxinus excelsa
APPENDIX III,Fraxinus excelsissima
APPENDIX III,Fraxinus mammifera
APPENDIX III,Fraxinus mandshurica subsp. brevipedicellata
APPENDIX III,Fraxinus mandshurica var. japonica
APPENDIX III,Fraxinus nigra subsp. mandshurica
APPENDIX III,Fraxinus nigra var. mandshurica
APPENDIX III,Lodoicea maldivica
APPENDIX III,Borassus sonneratii
APPENDIX III,Cocos maldivica
APPENDIX III,Cocos maritima
APPENDIX III,Lodoicea callypige
APPENDIX III,Lodoicea sechellarum
APPENDIX III,Lodoicea sonneratii
APPENDIX III,Meconopsis regia
APPENDIX III,Papaver regium
APPENDIX III,Pinus koraiensis
APPENDIX III,Apinus koraiensis
APPENDIX III,Pinus cembra var. excelsa
APPENDIX III,Pinus cembra var. mandschurica
APPENDIX III,Pinus koraiensis subsp. prokoraiensis
APPENDIX III,Pinus mandschurica
APPENDIX III,Pinus prokoraiensis
APPENDIX III,Pinus strobus
APPENDIX III,Strobus koraiensis
APPENDIX III,Podocarpus neriifolius
APPENDIX III,Margbensonia neriifolia
APPENDIX III,Nageia discolor
APPENDIX III,Nageia endlicheriana
APPENDIX III,Nageia leptostachya
APPENDIX III,Nageia neglecta
APPENDIX III,Nageia neriifolia
APPENDIX III,Podocarpus annamiensis var. hainanensis
APPENDIX III,Podocarpus discolor
APPENDIX III,Podocarpus endlicherianus
APPENDIX III,Podocarpus epiphyticus
APPENDIX III,Podocarpus junghuhnianus
APPENDIX III,Podocarpus leptostachyus
APPENDIX III,Podocarpus macrophyllus var. acuminatissimus
APPENDIX III,Podocarpus neriifolius subsp. decipiens
APPENDIX III,Podocarpus neriifolius subsp. penibukanensis
APPENDIX III,Podocarpus neriifolius subsp. staintonii
APPENDIX III,Podocarpus neriifolius var. decipiens
APPENDIX III,Podocarpus neriifolius var. linearis
APPENDIX III,Podocarpus neriifolius var. membranaceus
APPENDIX III,Podocarpus neriifolius var. penibukanensis
APPENDIX III,Podocarpus neriifolius var. polyanthus
APPENDIX III,Podocarpus neriifolius var. staintonii
APPENDIX III,Podocarpus polyanthus (Wasscher)
APPENDIX III,Tetracentron sinense
APPENDIX III,Tetracentron sinense var. himalense
